id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
9784;2;74;12,4803;12,4806;41,9019;41,9022;12,48045;41,90205;12,48043841;41,90196835;6;1;5,39;5,6;5;12/2/2014 12:14;1;5
8907;63;67;12,4986;12,4989;41,8998;41,9001;12,49875;41,89995;12,49880293;41,89989335;10;2;5,77;15,95;11;12/2/2014 12:14;1;5
8908;64;67;12,4989;12,4992;41,8998;41,9001;12,49905;41,89995;12,49895712;41,90003436;8;2;5,82;15,9;11;12/2/2014 12:14;1;5
9042;64;68;12,4989;12,4992;41,9001;41,9004;12,49905;41,90025;12,49911131;41,90017537;10;2;5,86;15,86;11;12/2/2014 12:14;1;5
8773;63;66;12,4986;12,4989;41,8995;41,8998;12,49875;41,89965;12,49864889;41,89975602;6;2;5,62;16,12;11;12/2/2014 12:14;1;5
8637;61;65;12,498;12,4983;41,8992;41,8995;12,49815;41,89935;12,49816708;41,89931348;14;2;5,35;16,39;11;12/2/2014 12:14;1;5
8638;62;65;12,4983;12,4986;41,8992;41,8995;12,49845;41,89935;12,49832102;41,89945725;4;2;5,53;16,21;11;12/2/2014 12:14;1;5
8772;62;66;12,4983;12,4986;41,8995;41,8998;12,49845;41,89965;12,49847215;41,89959581;14;2;5,55;16,19;11;12/2/2014 12:14;1;5
8503;61;64;12,498;12,4983;41,8989;41,8992;12,49815;41,89905;12,49818655;41,89912257;10;2;5,04;16,71;11;12/2/2014 12:14;1;5
8370;62;63;12,4983;12,4986;41,8986;41,8989;12,49845;41,89875;12,49857968;41,89887524;4;2;4,89;16,86;11;12/2/2014 12:14;1;5
8504;62;64;12,4983;12,4986;41,8989;41,8992;12,49845;41,89905;12,49841747;41,89897669;12;2;4,92;16,83;11;12/2/2014 12:14;1;5
8371;63;63;12,4986;12,4989;41,8986;41,8989;12,49875;41,89875;12,49874612;41,89877383;12;2;4,67;17,09;11;12/2/2014 12:14;1;5
7569;65;57;12,4992;12,4995;41,8968;41,8971;12,49935;41,89695;12,49933258;41,89686108;33;1;1;2,42;1;12/2/2014 12:14;1;5
12938;74;97;12,5019;12,5022;41,9088;41,9091;12,50205;41,90895;12,50204352;41,90894219;19;2;5,1;26,65;13;12/2/2014 12:14;1;5
8372;64;63;12,4989;12,4992;41,8986;41,8989;12,49905;41,89875;12,49897305;41,89863396;6;2;4,39;17,38;11;12/2/2014 12:14;1;5
7570;66;57;12,4995;12,4998;41,8968;41,8971;12,49965;41,89695;12,49958866;41,8970262;21;1;0,98;2,19;1;12/2/2014 12:14;1;5
8238;64;62;12,4989;12,4992;41,8983;41,8986;12,49905;41,89845;12,49910818;41,8985499;8;2;4,35;17,42;11;12/2/2014 12:14;1;5
8239;65;62;12,4992;12,4995;41,8983;41,8986;12,49935;41,89845;12,4993436;41,89840766;16;2;4,27;17,5;11;12/2/2014 12:14;1;5
8240;66;62;12,4995;12,4998;41,8983;41,8986;12,49965;41,89845;12,49952017;41,89830099;2;2;4,26;17,51;11;12/2/2014 12:14;1;5
9854;72;74;12,5013;12,5016;41,9019;41,9022;12,50145;41,90205;12,50135009;41,90197589;3;1;0,17;3;2;12/2/2014 12:14;1;5
7704;66;58;12,4995;12,4998;41,8971;41,8974;12,49965;41,89725;12,499596;41,8971777;24;1;0,8;2,06;1;12/2/2014 12:14;1;5
7254;18;55;12,4851;12,4854;41,8962;41,8965;12,48525;41,89635;12,485375;41,896404;1;1;11;11;11;12/2/2014 12:14;1;5
7703;65;58;12,4992;12,4995;41,8971;41,8974;12,49935;41,89725;12,49942128;41,89733378;18;1;0,67;1,87;1;12/2/2014 12:14;1;5
7837;65;59;12,4992;12,4995;41,8974;41,8977;12,49935;41,89755;12,49942303;41,89755376;18;1;0,62;1,74;1;12/2/2014 12:14;1;5
7971;65;60;12,4992;12,4995;41,8977;41,898;12,49935;41,89785;12,49930056;41,89776749;15;1;0,58;1,69;1;12/2/2014 12:14;1;5
13071;73;98;12,5016;12,5019;41,9091;41,9094;12,50175;41,90925;12,50171943;41,90921288;18;2;5,09;26,53;13;12/2/2014 12:14;1;5
8233;59;62;12,4974;12,4977;41,8983;41,8986;12,49755;41,89845;12,49765165;41,89858745;6;1;0,44;1,51;1;12/2/2014 12:14;1;5
8234;60;62;12,4977;12,498;41,8983;41,8986;12,49785;41,89845;12,49784543;41,89849501;21;1;0,44;1,52;1;12/2/2014 12:14;1;5
8101;61;61;12,498;12,4983;41,898;41,8983;12,49815;41,89815;12,49828482;41,89827919;3;1;0,48;1,54;1;12/2/2014 12:14;1;5
8235;61;62;12,498;12,4983;41,8983;41,8986;12,49815;41,89845;12,49812606;41,89836063;18;1;0,46;1,54;1;12/2/2014 12:14;1;5
8102;62;61;12,4983;12,4986;41,898;41,8983;12,49845;41,89815;12,49846648;41,89818977;21;1;0,48;1,61;1;12/2/2014 12:14;1;5
7969;63;60;12,4986;12,4989;41,8977;41,898;12,49875;41,89785;12,49888144;41,89798813;3;1;0,56;1,63;1;12/2/2014 12:14;1;5
8103;63;61;12,4986;12,4989;41,898;41,8983;12,49875;41,89815;12,49873659;41,89806006;18;1;0,54;1,63;1;12/2/2014 12:14;1;5
7970;64;60;12,4989;12,4992;41,8977;41,898;12,49905;41,89785;12,49904966;41,89789963;21;1;0,56;1,65;1;12/2/2014 12:14;1;5
9444;64;71;12,4989;12,4992;41,901;41,9013;12,49905;41,90115;12,49913522;41,90122272;20;2;2,5;23,87;12;12/2/2014 12:14;1;5
8367;59;63;12,4974;12,4977;41,8986;41,8989;12,49755;41,89875;12,4975158;41,89864492;12;1;0,39;1,48;1;12/2/2014 12:14;1;5
9711;63;73;12,4986;12,4989;41,9016;41,9019;12,49875;41,90175;12,49874592;41,90176281;29;2;0,12;26,46;11;12/2/2014 12:14;1;5
8231;57;62;12,4968;12,4971;41,8983;41,8986;12,49695;41,89845;12,49704297;41,89832942;9;1;0,22;1,31;1;12/2/2014 12:14;1;5
8232;58;62;12,4971;12,4974;41,8983;41,8986;12,49725;41,89845;12,49723357;41,89849615;24;1;0,28;1,43;1;12/2/2014 12:14;1;5
8366;58;63;12,4971;12,4974;41,8986;41,8989;12,49725;41,89875;12,49739647;41,89861679;3;1;0,39;1,44;1;12/2/2014 12:14;1;5
9450;70;71;12,5007;12,501;41,901;41,9013;12,50085;41,90115;12,50082906;41,90109992;46;2;0,03;37,2;8;12/2/2014 12:14;1;5
7565;61;57;12,498;12,4983;41,8968;41,8971;12,49815;41,89695;12,49816124;41,89704714;22;1;0,02;2,88;2;12/2/2014 12:14;1;5
