id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
304;28;13;-122,3985;-122,3982;37,7924;37,7927;-122,39835;37,79255;-122,3983202;37,79245114;8;2;1;19,66;15;2/6/2008 13:07;1;13
343;21;15;-122,4006;-122,4003;37,793;37,7933;-122,40045;37,79315;-122,4004608;37,79315218;28;4;6,24;26,25;13;2/6/2008 13:07;1;13
206;22;9;-122,4003;-122,4;37,7912;37,7915;-122,40015;37,79135;-122,4001499;37,79126828;23;3;8,15;35;20;2/6/2008 13:07;1;13
168;30;7;-122,3979;-122,3976;37,7906;37,7909;-122,39775;37,79075;-122,3978519;37,79087925;6;2;1,13;20,71;14;2/6/2008 13:07;1;13
348;3;16;-122,406;-122,4057;37,7933;37,7936;-122,40585;37,79345;-122,4058567;37,79342361;35;5;9,09;26,97;19;2/6/2008 13:07;1;13
209;25;9;-122,3994;-122,3991;37,7912;37,7915;-122,39925;37,79135;-122,3993626;37,79122591;8;5;7,18;33,25;14;2/6/2008 13:07;1;13
495;12;22;-122,4033;-122,403;37,7951;37,7954;-122,40315;37,79525;-122,4032614;37,79523574;26;5;9,28;37;20;2/6/2008 13:07;1;13
205;21;9;-122,4006;-122,4003;37,7912;37,7915;-122,40045;37,79135;-122,4004652;37,79121694;18;3;8,63;34,49;18;2/6/2008 13:07;1;13
416;2;19;-122,4063;-122,406;37,7942;37,7945;-122,40615;37,79435;-122,4061362;37,79429181;12;2;17,3;18,16;18;2/6/2008 13:07;1;13
518;12;23;-122,4033;-122,403;37,7954;37,7957;-122,40315;37,79555;-122,4031841;37,79553185;19;4;9,27;36,73;12;2/6/2008 13:07;1;13
421;7;19;-122,4048;-122,4045;37,7942;37,7945;-122,40465;37,79435;-122,4047158;37,79439574;86;13;1;23,83;15;2/6/2008 13:07;1;13
307;31;13;-122,3976;-122,3973;37,7924;37,7927;-122,39745;37,79255;-122,3974649;37,79257511;29;4;1;23,84;13;2/6/2008 13:07;1;13
284;8;13;-122,4045;-122,4042;37,7924;37,7927;-122,40435;37,79255;-122,4043724;37,79261342;153;18;0,09;28,1;13;2/6/2008 13:07;1;13
198;14;9;-122,4027;-122,4024;37,7912;37,7915;-122,40255;37,79135;-122,4024889;37,79136346;15;3;11,39;15,5;15;2/6/2008 13:07;1;13
418;4;19;-122,4057;-122,4054;37,7942;37,7945;-122,40555;37,79435;-122,4055447;37,7943643;24;4;1;18,56;12;2/6/2008 13:07;1;13
370;2;17;-122,4063;-122,406;37,7936;37,7939;-122,40615;37,79375;-122,4062091;37,79374232;7;1;16,36;16,7;16;2/6/2008 13:07;1;13
330;31;14;-122,3976;-122,3973;37,7927;37,793;-122,39745;37,79285;-122,3974932;37,79285839;26;4;1;23,75;13;2/6/2008 13:07;1;13
417;3;19;-122,406;-122,4057;37,7942;37,7945;-122,40585;37,79435;-122,4058261;37,79434811;14;3;1;18,02;15;2/6/2008 13:07;1;13
207;23;9;-122,4;-122,3997;37,7912;37,7915;-122,39985;37,79135;-122,3998653;37,79127609;20;3;7,75;34,59;16;2/6/2008 13:07;1;13
238;8;11;-122,4045;-122,4042;37,7918;37,7921;-122,40435;37,79195;-122,4042786;37,79195286;68;11;1,08;28,43;13;2/6/2008 13:07;1;13
393;2;18;-122,4063;-122,406;37,7939;37,7942;-122,40615;37,79405;-122,4062745;37,79404395;6;1;16,88;17,14;17;2/6/2008 13:07;1;13
449;12;20;-122,4033;-122,403;37,7945;37,7948;-122,40315;37,79465;-122,4031519;37,79466516;60;10;9,14;32,68;16;2/6/2008 13:07;1;13
311;12;14;-122,4033;-122,403;37,7927;37,793;-122,40315;37,79285;-122,4031545;37,79281261;65;7;4,63;23,92;13;2/6/2008 13:07;1;13
358;13;16;-122,403;-122,4027;37,7933;37,7936;-122,40285;37,79345;-122,4028893;37,79342893;35;5;8,86;28,16;17;2/6/2008 13:07;1;13
351;6;16;-122,4051;-122,4048;37,7933;37,7936;-122,40495;37,79345;-122,4049602;37,79353447;24;4;10;27,1;19;2/6/2008 13:07;1;13
310;11;14;-122,4036;-122,4033;37,7927;37,793;-122,40345;37,79285;-122,4034585;37,79277294;59;8;4,29;23,73;12;2/6/2008 13:07;1;13
377;9;17;-122,4042;-122,4039;37,7936;37,7939;-122,40405;37,79375;-122,4040736;37,79364744;26;4;6,27;21,28;14;2/6/2008 13:07;1;13
370;25;16;-122,3994;-122,3991;37,7933;37,7936;-122,39925;37,79345;-122,3992041;37,79331114;9;2;7,55;14,9;12;2/6/2008 13:07;1;13
334;35;14;-122,3964;-122,3961;37,7927;37,793;-122,39625;37,79285;-122,3962469;37,79290266;16;2;3,5;21,76;12;2/6/2008 13:07;1;13
312;13;14;-122,403;-122,4027;37,7927;37,793;-122,40285;37,79285;-122,4028338;37,79284223;83;11;4,65;24,5;13;2/6/2008 13:07;1;13
335;13;15;-122,403;-122,4027;37,793;37,7933;-122,40285;37,79315;-122,4028452;37,79313969;34;5;8,8;22,07;15;2/6/2008 13:07;1;13
309;10;14;-122,4039;-122,4036;37,7927;37,793;-122,40375;37,79285;-122,4037765;37,79275927;79;10;4;23,33;12;2/6/2008 13:08;1;13
376;8;17;-122,4045;-122,4042;37,7936;37,7939;-122,40435;37,79375;-122,404335;37,79361607;20;4;6,68;21,29;14;2/6/2008 13:08;1;13
353;8;16;-122,4045;-122,4042;37,7933;37,7936;-122,40435;37,79345;-122,4044724;37,79359759;4;4;6,99;21,29;14;2/6/2008 13:08;1;13
221;14;10;-122,4027;-122,4024;37,7915;37,7918;-122,40255;37,79165;-122,4025459;37,79165459;18;3;11,18;15,46;14;2/6/2008 13:08;1;13
301;2;14;-122,4063;-122,406;37,7927;37,793;-122,40615;37,79285;-122,4060332;37,7928595;6;1;11,26;11,66;11;2/6/2008 13:08;1;13
324;2;15;-122,4063;-122,406;37,793;37,7933;-122,40615;37,79315;-122,4060911;37,79315843;7;1;11,75;12,24;12;2/6/2008 13:08;1;13
305;29;13;-122,3982;-122,3979;37,7924;37,7927;-122,39805;37,79255;-122,3980322;37,79248786;12;3;1;23,98;13;2/6/2008 13:08;1;13
448;11;20;-122,4036;-122,4033;37,7945;37,7948;-122,40345;37,79465;-122,4034626;37,79462025;28;4;10,18;17,24;15;2/6/2008 13:08;1;13
124;32;5;-122,3973;-122,397;37,79;37,7903;-122,39715;37,79015;-122,3971397;37,79013075;16;2;19,89;26,23;23;2/6/2008 13:08;1;13
