grupo_long,grupo_lat,cant_vehiculos,support
34,22,1,9
34,23,1,7
22,17,2,6
12,22,2,6
4,7,1,6
13,7,1,6
2,14,1,6
2,15,1,6
35,19,1,6
12,21,2,5
17,23,2,5
21,22,1,5
33,23,2,5
4,8,1,5
2,19,2,5
14,6,1,5
20,1,3,5
21,1,2,5
21,2,2,5
22,2,2,5
1,16,1,5
4,22,1,5
19,21,1,5
35,20,1,5
30,22,1,5
31,22,1,5
31,23,1,5
32,23,1,5
3,16,1,5
8,8,1,5
27,1,3,4
21,9,1,4
21,23,1,4
20,10,4,4
23,21,1,4
22,6,1,4
4,5,1,4
14,7,1,4
22,3,2,4
23,3,2,4
34,11,5,4
34,10,5,4
33,11,5,4
24,19,1,4
21,18,1,4
20,18,1,4
19,18,1,4
2,16,1,4
7,10,1,4
16,16,1,4
17,16,1,4
5,10,1,4
13,20,2,4
2,18,1,4
4,19,1,4
2,17,1,4
10,13,1,4
30,15,1,4
31,17,1,4
29,21,1,4
30,21,1,4
30,20,1,4
30,14,1,4
6,16,1,4
5,16,1,4
4,16,1,4
5,19,2,4
3,19,2,4
10,5,1,4
34,16,2,4
8,9,1,4
12,22,3,4
22,19,1,4
24,4,1,3
25,4,1,3
25,5,1,3
26,5,1,3
26,6,1,3
16,14,6,3
18,21,2,3
3,10,5,3
31,3,3,3
28,1,3,3
23,9,2,3
22,9,1,3
15,16,1,3
17,12,1,3
5,6,1,3
5,7,1,3
6,7,1,3
7,7,1,3
23,16,1,3
22,22,1,3
23,22,1,3
17,9,1,3
29,10,2,3
26,22,2,3
27,22,2,3
28,22,2,3
29,22,2,3
4,4,1,3
5,6,3,3
5,7,3,3
6,7,3,3
11,20,4,3
1,19,2,3
19,14,5,3
34,21,2,3
7,7,3,3
22,18,3,3
23,10,1,3
20,9,4,3
10,23,1,3
35,14,4,3
23,4,2,3
24,4,2,3
25,4,2,3
25,5,2,3
26,5,2,3
26,6,2,3
31,12,5,3
32,12,5,3
25,9,6,3
4,10,2,3
35,5,3,3
34,5,3,3
35,13,1,3
8,1,3,3
11,4,5,3
12,4,5,3
9,1,3,3
13,4,5,3
14,1,3,3
26,17,1,3
20,16,1,3
17,11,2,3
35,18,5,3
15,11,2,3
9,15,2,3
10,15,2,3
1,22,1,3
12,15,1,3
4,10,1,3
6,23,1,3
33,23,1,3
10,20,2,3
26,8,5,3
11,20,2,3
35,16,6,3
33,2,4,3
13,16,4,3
6,16,4,3
1,19,1,3
2,19,1,3
3,19,1,3
26,15,1,3
8,7,3,3
22,16,2,3
31,2,1,3
32,5,2,3
13,20,4,3
14,20,4,3
5,22,1,3
12,13,1,3
11,17,1,3
28,1,5,3
14,17,2,3
15,7,3,3
6,19,2,3
29,22,5,3
32,19,1,3
32,14,1,3
14,4,1,3
13,4,1,3
12,4,1,3
11,4,1,3
14,20,2,3
8,7,2,3
18,21,1,3
5,19,1,3
6,19,1,3
17,18,1,3
16,18,1,3
15,17,1,3
14,17,1,3
20,13,1,3
4,12,1,3
10,15,1,3
31,18,1,3
9,15,1,3
9,9,6,3
11,11,4,3
11,10,4,3
28,2,4,3
29,2,4,3
29,3,4,3
30,3,4,3
6,22,2,3
17,14,3,3
17,15,3,3
18,11,3,3
20,21,1,3
25,19,1,3
23,18,1,3
1,3,4,3
15,10,1,3
17,10,1,3
24,5,1,3
18,12,1,3
6,21,2,3
29,14,1,3
34,21,3,3
34,10,2,3
35,10,2,3
35,9,2,3
22,20,1,3
